area_type,availability,location,bhk,total_sqft,bath,balcony,price,price_per_sqft,sqft_per_bhk
Super built-up  Area,Ready To Move,kundalahalli,3,2075.0,3.0,1.0,115.0,5542.168674698795,691.6666666666666
Super built-up  Area,Ready To Move,horamavu banaswadi,2,1272.0,2.0,2.0,51.5,4048.7421383647797,636.0
Built-up  Area,Ready To Move,1st phase jp nagar,1,840.0,2.0,2.0,50.0,5952.380952380952,840.0
Super built-up  Area,Ready To Move,hennur road,4,2502.0,4.0,2.0,180.0,7194.244604316546,625.5
Super built-up  Area,Ready To Move,rayasandra,1,583.0,1.0,1.0,26.9,4614.065180102916,583.0
Super built-up  Area,18-Dec,gunjur palya,2,900.0,2.0,1.0,27.0,3000.0,450.0
Super built-up  Area,Ready To Move,sarjapur  road,2,1115.0,2.0,2.0,50.0,4484.304932735426,557.5
Built-up  Area,18-Mar,kanakapura,3,2200.0,3.0,1.0,121.0,5500.0,733.3333333333334
Super built-up  Area,19-Dec,whitefield,1,750.0,1.0,1.0,51.0,6800.0,750.0
Super built-up  Area,Ready To Move,marathahalli,3,1600.0,3.0,3.0,58.0,3625.0,533.3333333333334
Super built-up  Area,Ready To Move,chikkalasandra,3,1365.0,2.0,2.0,49.0,3589.74358974359,455.0
Super built-up  Area,Ready To Move,hormavu,2,1260.0,2.0,2.0,35.0,2777.777777777778,630.0
Super built-up  Area,Ready To Move,electronics city phase 1,2,1190.0,2.0,2.0,33.92,2850.4201680672268,595.0
Super built-up  Area,Ready To Move,hosakerehalli,3,2480.0,4.0,1.0,260.0,10483.870967741936,826.6666666666666
Built-up  Area,Ready To Move,kaggadasapura,3,1500.0,3.0,0.0,75.0,5000.0,500.0
Super built-up  Area,Ready To Move,banashankari stage v,3,1510.0,3.0,3.0,47.57,3150.3311258278145,503.3333333333333
Super built-up  Area,19-Jan,7th phase jp nagar,2,1187.0,2.0,1.0,59.0,4970.513900589722,593.5
Super built-up  Area,Ready To Move,kundalahalli,2,1120.0,2.0,1.0,53.76,4800.0,560.0
Super built-up  Area,20-Dec,whitefield,2,1115.0,2.0,0.0,34.555,3099.103139013453,557.5
Super built-up  Area,Ready To Move,kasturi nagar,2,1100.0,2.0,2.0,58.0,5272.727272727273,550.0
Built-up  Area,Ready To Move,bannerghatta road,3,1465.0,2.0,1.0,45.87,3131.0580204778157,488.3333333333333
Plot  Area,Ready To Move,kothanur,1,1500.0,1.0,0.0,75.0,5000.0,1500.0
Super built-up  Area,Ready To Move,haralur road,3,1255.0,2.0,1.0,90.0,7171.314741035857,418.3333333333333
Super built-up  Area,Ready To Move,5th phase jp nagar,2,1220.0,2.0,3.0,88.0,7213.11475409836,610.0
Built-up  Area,18-Aug,electronic city phase ii,2,1065.0,2.0,1.0,30.88,2899.5305164319248,532.5
Built-up  Area,Ready To Move,sultan palaya,3,1765.0,3.0,3.0,80.0,4532.57790368272,588.3333333333334
Super built-up  Area,Ready To Move,bellandur,2,1281.0,2.0,2.0,87.0,6791.569086651054,640.5
Super built-up  Area,Ready To Move,electronic city,2,1210.0,2.0,2.0,25.0,2066.115702479339,605.0
Carpet  Area,Ready To Move,kaggadasapura,2,1215.0,2.0,3.0,43.0,3539.0946502057614,607.5
Plot  Area,Ready To Move,ananth nagar,4,1200.0,3.0,1.0,87.0,7250.0,300.0
Super built-up  Area,Ready To Move,mysore road,2,1237.0,2.0,2.0,73.0,5901.3742926434925,618.5
Super built-up  Area,Ready To Move,lakshminarayana pura,2,1300.0,2.0,1.0,70.0,5384.615384615385,650.0
Super built-up  Area,Ready To Move,whitefield,2,1105.0,2.0,2.0,39.99,3619.004524886878,552.5
Super built-up  Area,Ready To Move,chandapura,3,1505.0,2.0,2.0,42.0,2790.6976744186045,501.6666666666667
Super built-up  Area,Ready To Move,hebbal kempapura,4,3900.0,5.0,0.0,310.0,7948.717948717948,975.0
Built-up  Area,Ready To Move,banashankari,2,1186.0,2.0,3.0,65.0,5480.607082630691,593.0
Super built-up  Area,Ready To Move,kengeri,2,750.0,2.0,1.0,35.5,4733.333333333333,375.0
Built-up  Area,Ready To Move,varthur,2,1083.0,2.0,2.0,28.0,2585.410895660203,541.5
Super built-up  Area,Ready To Move,thanisandra,2,1056.0,2.0,2.0,68.0,6439.393939393939,528.0
Super built-up  Area,Ready To Move,banashankari,3,1650.0,3.0,2.0,101.0,6121.212121212121,550.0
Built-up  Area,18-Jul,electronic city phase ii,3,1220.0,3.0,1.0,36.6,3000.0,406.6666666666667
Super built-up  Area,Ready To Move,rayasandra,2,1198.0,2.0,1.0,54.0,4507.512520868114,599.0
Built-up  Area,Ready To Move,kanakapura,2,1340.0,2.0,2.0,65.0,4850.746268656716,670.0
Super built-up  Area,19-Dec,yelahanka,2,1260.0,2.0,2.0,59.2,4698.412698412699,630.0
Super built-up  Area,21-Feb,talaghattapura,3,2254.0,3.0,2.0,153.0,6787.93256433008,751.3333333333334
Super built-up  Area,Ready To Move,old madras road,3,2990.0,5.0,1.0,210.0,7023.411371237458,996.6666666666666
Built-up  Area,Ready To Move,jp nagar,2,820.0,2.0,1.0,45.0,5487.804878048781,410.0
Super built-up  Area,Ready To Move,electronic city,2,1296.0,2.0,2.0,65.0,5015.432098765432,648.0
Super built-up  Area,Ready To Move,uttarahalli,2,1190.0,2.0,1.0,53.55,4500.0,595.0
Super built-up  Area,19-Dec,whitefield,2,1173.0,2.0,1.0,77.0,6564.364876385337,586.5
Plot  Area,16-Dec,sarjapura - attibele road,3,1800.0,3.0,2.0,90.0,5000.0,600.0
Built-up  Area,Ready To Move,yelahanka,2,1102.0,2.0,0.0,52.0,4718.693284936479,551.0
Super built-up  Area,Ready To Move,sarjapur,2,913.0,2.0,1.0,36.0,3943.0449069003284,456.5
Super built-up  Area,18-Apr,hormavu,3,1176.0,2.0,1.0,35.27,2999.149659863946,392.0
Built-up  Area,Ready To Move,prithvi layout,3,1620.0,3.0,0.0,65.0,4012.3456790123455,540.0
Super built-up  Area,Ready To Move,billekahalli,3,2968.0,3.0,0.0,225.0,7580.8625336927225,989.3333333333334
Super built-up  Area,17-Dec,yelahanka,2,1519.0,2.0,3.0,65.0,4279.131007241606,759.5
Super built-up  Area,Ready To Move,hosur road,2,1345.0,2.0,2.0,106.0,7881.0408921933085,672.5
Super built-up  Area,Ready To Move,haralur road,2,1056.0,2.0,1.0,60.0,5681.818181818182,528.0
Plot  Area,18-Dec,whitefield,3,1200.0,3.0,1.0,68.4,5700.000000000001,400.0
Plot  Area,Ready To Move,anekal,4,1200.0,2.0,1.0,36.0,3000.0,300.0
Built-up  Area,Ready To Move,gollarapalya hosahalli,2,861.0,2.0,0.0,36.5,4239.256678281068,430.5
Super built-up  Area,Ready To Move,kundalahalli,2,1047.0,2.0,1.0,82.62,7891.117478510028,523.5
Built-up  Area,Ready To Move,rajaji nagar,3,2300.0,3.0,3.0,369.0,16043.478260869566,766.6666666666666
Super built-up  Area,Ready To Move,ramamurthy nagar,2,1000.0,2.0,1.0,62.0,6200.0,500.0
Super built-up  Area,Ready To Move,lingadheeranahalli,3,1682.0,3.0,1.0,113.0,6718.192627824019,560.6666666666666
Super built-up  Area,Ready To Move,harlur,3,1756.0,3.0,2.0,131.0,7460.136674259681,585.3333333333334
Super built-up  Area,Ready To Move,vittasandra,2,1238.0,2.0,1.0,67.32,5437.802907915992,619.0
Super built-up  Area,Ready To Move,dasanapura,2,814.0,2.0,1.0,42.0,5159.7051597051595,407.0
Built-up  Area,Ready To Move,dodda nekkundi,2,1145.0,2.0,1.0,46.5,4061.1353711790393,572.5
Super built-up  Area,Ready To Move,varthur,2,965.0,2.0,1.0,34.0,3523.316062176166,482.5
Built-up  Area,Ready To Move,banashankari,3,1300.0,2.0,2.0,55.0,4230.7692307692305,433.3333333333333
Super built-up  Area,18-May,1st phase jp nagar,3,1590.0,3.0,3.0,131.0,8238.993710691824,530.0
Super built-up  Area,20-Aug,begur road,1,644.0,1.0,1.0,40.0,6211.180124223602,644.0
Super built-up  Area,18-Mar,whitefield,2,982.0,2.0,1.0,37.0,3767.8207739307536,491.0
Super built-up  Area,Ready To Move,indira nagar,2,1260.0,2.0,2.0,100.0,7936.507936507936,630.0
Super built-up  Area,Ready To Move,rayasandra,3,1555.0,3.0,2.0,75.17,4834.083601286174,518.3333333333334
Super built-up  Area,18-Aug,kaggadasapura,2,1225.0,2.0,2.0,48.0,3918.3673469387754,612.5
Super built-up  Area,Ready To Move,electronics city phase 1,2,1085.0,2.0,1.0,46.0,4239.6313364055295,542.5
Super built-up  Area,Ready To Move,rajaji nagar,3,1640.0,3.0,2.0,220.0,13414.634146341463,546.6666666666666
Built-up  Area,18-Aug,thanisandra,3,1595.0,3.0,1.0,110.0,6896.551724137931,531.6666666666666
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2,1196.0,2.0,2.0,40.44,3381.2709030100336,598.0
Super built-up  Area,18-Mar,yelahanka,3,1859.0,3.0,1.0,108.0,5809.575040344271,619.6666666666666
Super built-up  Area,21-Sep,9th phase jp nagar,2,1079.0,2.0,1.0,60.0,5560.704355885079,539.5
Super built-up  Area,Ready To Move,whitefield,2,1118.0,2.0,1.0,42.0,3756.7084078711987,559.0
Super built-up  Area,Ready To Move,cv raman nagar,2,1198.0,2.0,2.0,60.0,5008.347245409015,599.0
Super built-up  Area,18-Jun,chandapura,3,1162.5,3.0,0.0,30.215,2599.1397849462364,387.5
Super built-up  Area,Ready To Move,thigalarapalya,3,1830.0,4.0,2.0,135.0,7377.049180327869,610.0
Super built-up  Area,20-Oct,banashankari stage vi,2,1160.0,2.0,1.0,59.0,5086.206896551724,580.0
Built-up  Area,17-Mar,kannamangala,2,957.0,2.0,0.0,52.5,5485.8934169279,478.5
Plot  Area,Ready To Move,basaveshwara nagar,5,2400.0,4.0,1.0,310.0,12916.666666666666,480.0
Super built-up  Area,18-Dec,bannerghatta road,2,1268.0,2.0,1.0,69.0,5441.640378548896,634.0
Super built-up  Area,Ready To Move,bannerghatta road,3,1450.0,2.0,2.0,87.0,6000.0,483.3333333333333
Super built-up  Area,Ready To Move,uttarahalli,3,1330.0,2.0,1.0,57.0,4285.714285714285,443.3333333333333
Super built-up  Area,Ready To Move,jakkur,3,1355.0,2.0,2.0,65.0,4797.047970479704,451.6666666666667
Super built-up  Area,Ready To Move,horamavu banaswadi,2,1272.0,2.0,2.0,51.5,4048.7421383647797,636.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1220.0,3.0,2.0,58.0,4754.098360655737,406.6666666666667
Super built-up  Area,Ready To Move,chikkalasandra,2,1075.0,2.0,1.0,46.76,4349.767441860465,537.5
Super built-up  Area,Ready To Move,vasanthapura,2,995.0,2.0,1.0,34.82,3499.497487437186,497.5
Super built-up  Area,Ready To Move,haralur road,2,1140.0,2.0,1.0,42.0,3684.2105263157896,570.0
Super built-up  Area,18-May,padmanabhanagar,3,1710.0,2.0,2.0,90.63,5300.0,570.0
Super built-up  Area,21-Dec,talaghattapura,3,2106.0,3.0,3.0,148.0,7027.540360873694,702.0
Super built-up  Area,Ready To Move,marathahalli,2,1602.0,2.0,0.0,104.0,6491.8851435705365,801.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1660.0,2.0,2.0,116.0,6987.951807228916,553.3333333333334
Super built-up  Area,Ready To Move,electronic city phase ii,3,1549.0,3.0,2.0,80.0,5164.622336991608,516.3333333333334
Super built-up  Area,19-Mar,marathahalli,1,700.0,1.0,1.0,38.0,5428.571428571428,700.0
Super built-up  Area,18-Dec,balagere,2,1012.0,2.0,1.0,64.0,6324.110671936759,506.0
Super built-up  Area,19-Dec,marathahalli,3,1469.0,3.0,1.0,89.0,6058.543226684819,489.6666666666667
Super built-up  Area,18-Aug,whitefield,2,1216.0,2.0,1.0,69.0,5674.3421052631575,608.0
Super built-up  Area,Ready To Move,electronic city phase ii,2,1065.0,2.0,1.0,56.13,5270.422535211268,532.5
Super built-up  Area,19-Mar,thanisandra,3,1411.0,3.0,1.0,93.15,6601.700921332388,470.3333333333333
Super built-up  Area,Ready To Move,pai layout,2,1400.0,2.0,2.0,57.5,4107.142857142857,700.0
Super built-up  Area,Ready To Move,hoskote,3,1250.0,3.0,2.0,29.0,2320.0,416.6666666666667
Super built-up  Area,Ready To Move,haralur road,2,1245.0,2.0,3.0,62.0,4979.919678714859,622.5
Super built-up  Area,Ready To Move,choodasandra,2,1115.0,2.0,1.0,50.0,4484.304932735426,557.5
Super built-up  Area,Ready To Move,vidyaranyapura,2,1000.0,2.0,1.0,35.0,3500.0,500.0
Super built-up  Area,18-Mar,panathur,3,1580.0,3.0,0.0,71.89,4550.0,526.6666666666666
Super built-up  Area,Ready To Move,subramanyapura,3,1800.0,3.0,2.0,90.0,5000.0,600.0
Super built-up  Area,18-Sep,chandapura,1,645.0,1.0,1.0,16.45,2550.3875968992247,645.0
Super built-up  Area,18-Jun,kothannur,3,1275.0,3.0,2.0,44.0,3450.9803921568628,425.0
Super built-up  Area,Ready To Move,kasavanhalli,3,1494.0,3.0,2.0,82.0,5488.621151271754,498.0
Super built-up  Area,Ready To Move,bhoganhalli,3,1949.0,3.0,2.0,129.0,6618.778860954336,649.6666666666666
Super built-up  Area,Ready To Move,btm layout,2,1020.0,2.0,1.0,46.5,4558.823529411765,510.0
Super built-up  Area,Ready To Move,mysore road,2,883.0,2.0,1.0,45.0,5096.262740656852,441.5
Built-up  Area,Ready To Move,old airport road,4,3200.0,4.0,0.0,280.0,8750.0,800.0
Super built-up  Area,Ready To Move,yeshwanthpur,2,1240.0,2.0,2.0,80.0,6451.612903225807,620.0
Super built-up  Area,Ready To Move,6th phase jp nagar,2,1213.0,2.0,1.0,63.0,5193.734542456719,606.5
Super built-up  Area,Ready To Move,hegde nagar,3,1835.0,3.0,3.0,88.0,4795.6403269754765,611.6666666666666
Super built-up  Area,Ready To Move,bannerghatta road,4,2932.0,5.0,0.0,195.0,6650.75034106412,733.0
Built-up  Area,Ready To Move,whitefield,4,3425.0,5.0,2.0,250.0,7299.270072992701,856.25
Built-up  Area,Ready To Move,gottigere,2,945.0,2.0,0.0,45.0,4761.9047619047615,472.5
Super built-up  Area,Ready To Move,lakshminarayana pura,3,1569.0,3.0,2.0,150.0,9560.229445506691,523.0
Super built-up  Area,Ready To Move,harlur,3,1755.0,3.0,2.0,130.0,7407.407407407408,585.0
Super built-up  Area,Ready To Move,vijayanagar,3,1760.0,3.0,0.0,140.0,7954.545454545455,586.6666666666666
Super built-up  Area,18-May,hoodi,2,1240.0,2.0,3.0,43.94,3543.548387096774,620.0
Super built-up  Area,19-Dec,electronics city phase 1,3,1450.0,3.0,2.0,72.54,5002.758620689656,483.3333333333333
Super built-up  Area,Ready To Move,5th phase jp nagar,2,1000.0,2.0,0.0,48.0,4800.0,500.0
Plot  Area,Ready To Move,shivaji nagar,1,3820.0,1.0,1.0,306.0,8010.471204188481,3820.0
Super built-up  Area,Ready To Move,choodasandra,2,1215.0,2.0,2.0,59.0,4855.9670781893,607.5
Super built-up  Area,Ready To Move,yelachenahalli,3,1330.0,3.0,3.0,73.5,5526.315789473684,443.3333333333333
Super built-up  Area,18-Aug,raja rajeshwari nagar,2,1178.0,2.0,1.0,75.0,6366.723259762309,589.0
Plot  Area,18-Aug,hulimavu,4,1500.0,4.0,3.0,192.0,12800.0,375.0
Super built-up  Area,18-Mar,bellandur,3,2000.0,3.0,2.0,85.0,4250.0,666.6666666666666
Super built-up  Area,Ready To Move,parappana agrahara,2,1194.0,2.0,2.0,46.0,3852.5963149078725,597.0
Plot  Area,Ready To Move,dasarahalli,3,2400.0,2.0,1.0,152.0,6333.333333333333,800.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1700.0,3.0,3.0,108.0,6352.941176470588,566.6666666666666
Built-up  Area,Ready To Move,jigani,3,1200.0,3.0,2.0,65.0,5416.666666666667,400.0
Plot  Area,Ready To Move,karuna nagar,3,1240.0,3.0,2.0,165.0,13306.451612903225,413.3333333333333
Built-up  Area,Ready To Move,whitefield,3,3000.0,3.0,2.0,400.0,13333.333333333334,1000.0
Built-up  Area,Ready To Move,kanakpura road,3,1737.0,3.0,3.0,85.0,4893.494530800231,579.0
Plot  Area,Ready To Move,tc palaya,2,900.0,2.0,0.0,55.0,6111.111111111111,450.0
Super built-up  Area,Ready To Move,cv raman nagar,2,1560.0,2.0,2.0,85.0,5448.717948717948,780.0
Super built-up  Area,Ready To Move,kambipura,2,883.0,2.0,1.0,44.0,4983.012457531144,441.5
Super built-up  Area,Ready To Move,kengeri satellite town,2,750.0,2.0,1.0,33.0,4400.0,375.0
Super built-up  Area,Ready To Move,brookefield,4,2400.0,3.0,3.0,140.0,5833.333333333333,600.0
Super built-up  Area,Ready To Move,hormavu,2,1030.0,2.0,1.0,49.35,4791.26213592233,515.0
Super built-up  Area,Ready To Move,7th phase jp nagar,3,1850.0,3.0,2.0,155.0,8378.378378378378,616.6666666666666
Built-up  Area,Ready To Move,hennur road,3,1831.0,3.0,1.0,110.0,6007.646095030038,610.3333333333334
Built-up  Area,18-Jul,electronic city phase ii,3,1320.0,2.0,1.0,38.13,2888.636363636364,440.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1272.5,2.0,0.0,40.72,3200.0,424.1666666666667
Built-up  Area,Ready To Move,7th phase jp nagar,2,1000.0,2.0,1.0,61.0,6100.0,500.0
Super built-up  Area,Ready To Move,budigere,3,1820.0,3.0,2.0,85.4,4692.307692307692,606.6666666666666
Super built-up  Area,Ready To Move,bisuvanahalli,3,1075.0,2.0,1.0,41.0,3813.953488372093,358.3333333333333
Plot  Area,18-May,tc palaya,3,1500.0,3.0,0.0,83.0,5533.333333333333,500.0
Super built-up  Area,Ready To Move,electronics city phase 1,1,360.0,1.0,0.0,16.9,4694.444444444443,360.0
Super built-up  Area,Ready To Move,kadugodi,1,925.0,1.0,0.0,40.7,4400.000000000001,925.0
Super built-up  Area,21-Dec,electronic city,2,1140.0,2.0,1.0,70.93,6221.9298245614045,570.0
Super built-up  Area,Ready To Move,devarachikkanahalli,2,947.0,2.0,2.0,43.0,4540.654699049631,473.5
Super built-up  Area,Ready To Move,kalena agrahara,2,1120.0,2.0,2.0,40.0,3571.4285714285716,560.0
Super built-up  Area,Ready To Move,kaggadasapura,3,1805.0,2.0,2.0,75.0,4155.124653739612,601.6666666666666
Super built-up  Area,Ready To Move,basavangudi,2,1100.0,2.0,3.0,93.0,8454.545454545454,550.0
Super built-up  Area,Ready To Move,uttarahalli,3,1560.0,3.0,3.0,74.0,4743.589743589743,520.0
Super built-up  Area,Ready To Move,arekere,3,2060.0,3.0,2.0,150.0,7281.553398058252,686.6666666666666
Super built-up  Area,Ready To Move,koramangala,3,1716.0,2.0,0.0,115.0,6701.631701631702,572.0
Super built-up  Area,Ready To Move,harlur,3,1864.0,3.0,1.0,140.0,7510.729613733905,621.3333333333334
Built-up  Area,Ready To Move,electronics city phase 1,1,638.0,1.0,1.0,32.0,5015.673981191223,638.0
Super built-up  Area,18-Dec,chandapura,2,937.0,2.0,1.0,30.0,3201.7075773745996,468.5
Super built-up  Area,Ready To Move,frazer town,4,4856.0,5.0,3.0,410.0,8443.163097199342,1214.0
Super built-up  Area,17-May,whitefield,2,1100.0,2.0,1.0,37.0,3363.6363636363635,550.0
Super built-up  Area,Ready To Move,thigalarapalya,2,1000.0,2.0,2.0,48.53,4853.0,500.0
Super built-up  Area,Ready To Move,horamavu agara,2,1060.0,2.0,1.0,37.0,3490.566037735849,530.0
Super built-up  Area,Ready To Move,kundalahalli,2,1047.0,2.0,1.0,91.0,8691.499522445081,523.5
Built-up  Area,Ready To Move,basaveshwara nagar,2,1200.0,2.0,2.0,80.0,6666.666666666667,600.0
Super built-up  Area,Ready To Move,akshaya nagar,3,1420.0,2.0,2.0,75.0,5281.69014084507,473.3333333333333
Super built-up  Area,Ready To Move,sarjapur  road,3,1539.0,3.0,0.0,85.0,5523.066926575699,513.0
Super built-up  Area,Ready To Move,kasavanhalli,3,1555.0,3.0,3.0,82.0,5273.311897106109,518.3333333333334
Super built-up  Area,Ready To Move,seegehalli,3,1553.0,3.0,3.0,68.0,4378.62202189311,517.6666666666666
Super built-up  Area,Ready To Move,electronic city phase ii,2,920.0,2.0,2.0,26.0,2826.086956521739,460.0
Super built-up  Area,Ready To Move,ombr layout,3,1855.0,3.0,2.0,145.0,7816.711590296496,618.3333333333334
Super built-up  Area,18-Mar,kundalahalli,3,1724.0,3.0,1.0,146.0,8468.677494199535,574.6666666666666
Super built-up  Area,Ready To Move,uttarahalli,3,1250.0,2.0,1.0,50.0,4000.0,416.6666666666667
Super built-up  Area,Ready To Move,sanjay nagar,3,1450.0,3.0,2.0,75.0,5172.413793103448,483.3333333333333
Super built-up  Area,Ready To Move,thubarahalli,2,1200.0,2.0,2.0,80.0,6666.666666666667,600.0
Built-up  Area,Ready To Move,haralur road,2,1140.0,2.0,2.0,58.0,5087.7192982456145,570.0
Super built-up  Area,17-Oct,bannerghatta road,3,1450.0,3.0,1.0,44.0,3034.4827586206898,483.3333333333333
Super built-up  Area,21-Dec,kanakpura road,2,700.0,2.0,1.0,35.07,5010.0,350.0
Plot  Area,18-Jul,whitefield,3,1200.0,3.0,1.0,56.0,4666.666666666667,400.0
Super built-up  Area,Ready To Move,yelahanka,2,1050.0,2.0,1.0,45.0,4285.714285714285,525.0
Super built-up  Area,Ready To Move,somasundara palya,3,1600.0,3.0,3.0,69.0,4312.5,533.3333333333334
Super built-up  Area,Ready To Move,bannerghatta road,3,1625.0,2.0,3.0,75.0,4615.384615384615,541.6666666666666
Super built-up  Area,18-Dec,whitefield,4,2856.0,5.0,0.0,157.5,5514.705882352941,714.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1489.0,2.0,3.0,82.0,5507.051712558764,496.3333333333333
Super built-up  Area,Ready To Move,kanakapura,3,1560.0,2.0,2.0,62.38,3998.7179487179487,520.0
Super built-up  Area,Ready To Move,haralur road,2,1140.0,2.0,2.0,42.0,3684.2105263157896,570.0
Super built-up  Area,Ready To Move,lingadheeranahalli,3,1682.0,3.0,1.0,114.0,6777.645659928657,560.6666666666666
Super built-up  Area,18-Feb,panathur,2,1198.0,2.0,1.0,86.26,7200.33388981636,599.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1550.0,2.0,2.0,69.75,4500.0,516.6666666666666
Super built-up  Area,Ready To Move,kodichikkanahalli,2,1026.0,2.0,1.0,45.0,4385.964912280701,513.0
Built-up  Area,Ready To Move,hennur,3,1260.0,2.0,2.0,52.0,4126.984126984127,420.0
Super built-up  Area,Ready To Move,sarjapur  road,1,539.0,1.0,1.0,45.0,8348.794063079777,539.0
Built-up  Area,Ready To Move,sarakki nagar,4,1200.0,4.0,1.0,85.0,7083.333333333333,300.0
Built-up  Area,Ready To Move,attibele,3,2400.0,3.0,3.0,120.0,5000.0,800.0
Super built-up  Area,Ready To Move,thubarahalli,2,1200.0,2.0,2.0,79.55,6629.166666666667,600.0
Plot  Area,Ready To Move,kundalahalli,4,2500.0,5.0,2.0,350.0,14000.0,625.0
Super built-up  Area,Ready To Move,sarjapur  road,3,1186.0,2.0,2.0,40.0,3372.681281618887,395.3333333333333
Super built-up  Area,Ready To Move,thanisandra,2,1039.0,2.0,2.0,39.5,3801.732435033686,519.5
Plot  Area,Ready To Move,gottigere,5,1500.0,4.0,1.0,100.0,6666.666666666667,300.0
Super built-up  Area,Ready To Move,malleshwaram,3,2520.0,3.0,2.0,150.0,5952.380952380952,840.0
Built-up  Area,Ready To Move,brookefield,2,1225.0,2.0,2.0,66.5,5428.571428571428,612.5
Built-up  Area,Ready To Move,bommanahalli,2,1350.0,2.0,2.0,72.0,5333.333333333333,675.0
Built-up  Area,Ready To Move,whitefield,3,1550.0,2.0,2.0,49.6,3200.0,516.6666666666666
Super built-up  Area,Ready To Move,hoodi,3,1490.0,3.0,2.0,79.0,5302.013422818792,496.6666666666667
Super built-up  Area,Ready To Move,rachenahalli,2,1200.0,2.0,2.0,50.0,4166.666666666667,600.0
Super built-up  Area,Ready To Move,yelahanka,2,1322.0,2.0,2.0,80.0,6051.437216338881,661.0
Super built-up  Area,19-Dec,whitefield,3,2173.0,3.0,2.0,128.0,5890.473999079613,724.3333333333334
Super built-up  Area,Ready To Move,sarjapur  road,2,1200.0,2.0,2.0,75.0,6250.0,600.0
Super built-up  Area,Ready To Move,thubarahalli,2,1200.0,2.0,2.0,47.0,3916.6666666666665,600.0
Super built-up  Area,Ready To Move,mysore road,2,1170.0,2.0,2.0,65.0,5555.555555555556,585.0
Super built-up  Area,17-Dec,nri layout,2,1125.0,2.0,2.0,45.56,4049.777777777778,562.5
Super built-up  Area,18-May,devanahalli,1,698.5,1.0,0.0,28.57,4090.1932712956336,698.5
Super built-up  Area,19-Dec,chandapura,2,1025.0,2.0,2.0,27.68,2700.487804878049,512.5
Super built-up  Area,Ready To Move,yelahanka,3,1075.0,2.0,2.0,36.0,3348.8372093023254,358.3333333333333
Built-up  Area,Ready To Move,whitefield,3,1435.0,3.0,2.0,45.0,3135.8885017421603,478.3333333333333
Super built-up  Area,18-Dec,electronics city phase 1,2,1175.0,2.0,2.0,64.98,5530.212765957447,587.5
Super built-up  Area,Ready To Move,electronics city phase 1,1,585.0,1.0,1.0,21.0,3589.74358974359,585.0
Plot  Area,Ready To Move,jigani,4,3170.0,5.0,2.0,230.0,7255.520504731861,792.5
Super built-up  Area,Ready To Move,thanisandra,2,1220.0,2.0,2.0,42.0,3442.622950819672,610.0
Super built-up  Area,Ready To Move,rajaji nagar,3,2500.0,3.0,3.0,350.0,14000.0,833.3333333333334
Super built-up  Area,Ready To Move,sarjapur  road,3,2145.0,3.0,3.0,180.0,8391.608391608392,715.0
Super built-up  Area,Ready To Move,bannerghatta road,2,960.0,2.0,3.0,58.0,6041.666666666667,480.0
Super built-up  Area,Ready To Move,ngr layout,1,907.0,1.0,1.0,38.0,4189.636163175303,907.0
Super built-up  Area,Ready To Move,old madras road,2,1210.0,2.0,1.0,74.0,6115.702479338843,605.0
Super built-up  Area,Ready To Move,5th phase jp nagar,3,1350.0,2.0,1.0,75.0,5555.555555555556,450.0
Super built-up  Area,Ready To Move,kenchenahalli,2,1150.0,2.0,2.0,58.0,5043.478260869565,575.0
Super built-up  Area,19-Apr,sarjapur,3,1404.0,2.0,0.0,53.35,3799.8575498575497,468.0
Super built-up  Area,Ready To Move,ombr layout,2,1050.0,2.0,3.0,48.0,4571.428571428572,525.0
Super built-up  Area,Ready To Move,yelahanka,2,1285.0,2.0,2.0,56.0,4357.976653696498,642.5
Super built-up  Area,Ready To Move,hormavu,2,1018.0,2.0,1.0,50.8,4990.176817288801,509.0
Plot  Area,Ready To Move,hoskote,3,1200.0,3.0,2.0,57.0,4750.0,400.0
Super built-up  Area,Ready To Move,sarjapur  road,2,1115.0,2.0,2.0,50.0,4484.304932735426,557.5
Super built-up  Area,21-Sep,9th phase jp nagar,2,1480.0,2.0,1.0,80.0,5405.405405405405,740.0
Built-up  Area,Ready To Move,kodichikkanahalli,5,2500.0,7.0,0.0,125.0,5000.0,500.0
Built-up  Area,Ready To Move,kaval byrasandra,1,480.0,1.0,1.0,25.0,5208.333333333333,480.0
Super built-up  Area,Ready To Move,akshaya nagar,3,1435.0,3.0,3.0,53.0,3693.3797909407667,478.3333333333333
Super built-up  Area,Ready To Move,cv raman nagar,3,1590.0,2.0,3.0,85.0,5345.911949685535,530.0
Built-up  Area,Ready To Move,nagavara,2,936.0,2.0,0.0,40.2,4294.871794871795,468.0
Super built-up  Area,Ready To Move,banashankari,2,1181.0,2.0,1.0,75.0,6350.550381033023,590.5
Super built-up  Area,18-Apr,kengeri,3,1741.0,3.0,2.0,80.0,4595.060310166571,580.3333333333334
